GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0021500027,0,12,0,1,8:11 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
0021500027,1,10,0,1,8:11 PM,12:00,Jump Ball Monroe vs. Gortat: Tip to Humphries,,,,,4.0,202328,Greg Monroe,1610612749.0,Milwaukee,Bucks,MIL,5,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,5,2743,Kris Humphries,1610612764.0,Washington,Wizards,WAS
0021500027,3,1,3,1,8:11 PM,11:42,,,Gortat 4' Hook Shot (2 PTS) (Beal 1 AST),2 - 0,-2,5.0,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,5,203078,Bradley Beal,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500027,4,1,98,1,8:11 PM,11:20,Monroe 2' Cutting Layup Shot (2 PTS) (Carter-Williams 1 AST),,,2 - 2,TIE,4.0,202328,Greg Monroe,1610612749.0,Milwaukee,Bucks,MIL,4,203487,Michael Carter-Williams,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,
0021500027,5,6,1,1,8:11 PM,11:12,Antetokounmpo P.FOUL (P1.T1) (J.Orr),,,,,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,5,203490,Otto Porter Jr.,1610612764.0,Washington,Wizards,WAS,1,0,,,,,
0021500027,6,2,1,1,8:12 PM,11:02,,,MISS Gortat 5' Jump Shot,,,5.0,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,
0021500027,7,4,0,1,8:12 PM,11:01,Carter-Williams REBOUND (Off:0 Def:1),,,,,4.0,203487,Michael Carter-Williams,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,
0021500027,8,6,29,1,8:12 PM,10:58,,,Gortat Shooting Block Foul (P1.T1) (J.Orr),,,5.0,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,4,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,1,0,,,,,
0021500027,9,3,11,1,8:12 PM,10:58,Antetokounmpo Free Throw 1 of 2 (1 PTS),,,2 - 3,1,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,
0021500027,11,3,12,1,8:13 PM,10:58,Antetokounmpo Free Throw 2 of 2 (2 PTS),,,2 - 4,2,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,
0021500027,13,5,2,1,8:13 PM,10:48,Antetokounmpo STEAL (1 STL),,Porter Jr. Lost Ball Turnover (P1.T1),,,5.0,203490,Otto Porter Jr.,1610612764.0,Washington,Wizards,WAS,4,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,
0021500027,14,1,5,1,8:13 PM,10:44,Antetokounmpo 1' Layup (4 PTS) (Middleton 1 AST),,,2 - 6,4,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,4,203114,Khris Middleton,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,
0021500027,15,1,50,1,8:13 PM,10:38,,,Wall  Running Dunk (2 PTS) (Beal 2 AST),4 - 6,2,5.0,202322,John Wall,1610612764.0,Washington,Wizards,WAS,5,203078,Bradley Beal,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500027,16,1,1,1,8:13 PM,10:22,Monroe 11' Jump Shot (4 PTS) (Middleton 2 AST),,,4 - 8,4,4.0,202328,Greg Monroe,1610612749.0,Milwaukee,Bucks,MIL,4,203114,Khris Middleton,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,
0021500027,17,2,1,1,8:14 PM,10:04,,,MISS Beal 16' Jump Shot,,,5.0,203078,Bradley Beal,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,
0021500027,18,4,0,1,8:14 PM,10:02,Monroe REBOUND (Off:0 Def:1),,,,,4.0,202328,Greg Monroe,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,
0021500027,20,5,2,1,8:14 PM,9:55,Antetokounmpo Lost Ball Turnover (P1.T1),,,,,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,0,0,,,,,,0,0,,,,,
0021500027,19,10,0,1,8:14 PM,9:55,Jump Ball Antetokounmpo vs. Wall: Tip to Porter Jr.,,,,,4.0,203507,Giannis Antetokounmpo,1610612749.0,Milwaukee,Bucks,MIL,5,202322,John Wall,1610612764.0,Washington,Wizards,WAS,5,203490,Otto Porter Jr.,1610612764.0,Washington,Wizards,WAS
