GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0021500350,1,12,0,1,8:42 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
0021500350,2,10,0,1,8:42 PM,12:00,Jump Ball Pachulia vs. Gortat: Tip to Dudley,,,,,4.0,2585,Zaza Pachulia,1610612742.0,Dallas,Mavericks,DAL,5,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,5,201162,Jared Dudley,1610612764.0,Washington,Wizards,WAS
0021500350,3,2,73,1,8:43 PM,11:36,,,MISS Temple 2' Driving Reverse Layup,,,5.0,202066,Garrett Temple,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,
0021500350,4,4,0,1,8:43 PM,11:34,Nowitzki REBOUND (Off:0 Def:1),,,,,4.0,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,
0021500350,5,5,1,1,8:43 PM,11:24,Pachulia Bad Pass Turnover (P1.T1),,Temple STEAL (1 STL),,,4.0,2585,Zaza Pachulia,1610612742.0,Dallas,Mavericks,DAL,5,202066,Garrett Temple,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500350,6,1,41,1,8:43 PM,11:20,,,Dudley 1' Running Layup (2 PTS) (Temple 1 AST),2 - 0,-2,5.0,201162,Jared Dudley,1610612764.0,Washington,Wizards,WAS,5,202066,Garrett Temple,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500350,7,1,1,1,8:43 PM,11:04,Parsons 25' 3PT Jump Shot (3 PTS),,,2 - 3,1,4.0,202718,Chandler Parsons,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,
0021500350,8,1,1,1,8:43 PM,10:51,,,Porter Jr. 24' 3PT Jump Shot (3 PTS) (Wall 1 AST),5 - 3,-2,5.0,203490,Otto Porter Jr.,1610612764.0,Washington,Wizards,WAS,5,202322,John Wall,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500350,9,1,1,1,8:44 PM,10:37,Pachulia 16' Jump Shot (2 PTS) (Felton 1 AST),,,5 - 5,TIE,4.0,2585,Zaza Pachulia,1610612742.0,Dallas,Mavericks,DAL,4,101109,Raymond Felton,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,
0021500350,10,1,1,1,8:44 PM,10:21,,,Gortat 8' Jump Shot (2 PTS) (Temple 2 AST),7 - 5,-2,5.0,101162,Marcin Gortat,1610612764.0,Washington,Wizards,WAS,5,202066,Garrett Temple,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500350,11,2,1,1,8:44 PM,9:52,MISS Matthews 25' 3PT Jump Shot,,,,,4.0,202083,Wesley Matthews,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,
0021500350,12,4,0,1,8:44 PM,9:51,,,Dudley REBOUND (Off:0 Def:1),,,5.0,201162,Jared Dudley,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,
0021500350,13,1,41,1,8:44 PM,9:45,,,Temple  Running Layup (2 PTS) (Dudley 1 AST),9 - 5,-4,5.0,202066,Garrett Temple,1610612764.0,Washington,Wizards,WAS,5,201162,Jared Dudley,1610612764.0,Washington,Wizards,WAS,0,0,,,,,
0021500350,14,2,82,1,8:45 PM,9:26,MISS Parsons 3' Driving Bank Shot,,,,,4.0,202718,Chandler Parsons,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,
