GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0021500420,0,12,0,1,7:42 PM,12:00,,,,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,
0021500420,1,10,0,1,7:42 PM,12:00,Jump Ball Whiteside vs. Drummond: Tip to Udrih,,,,,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,5,203083,Andre Drummond,1610612765.0,Detroit,Pistons,DET,4,2757,Beno Udrih,1610612748.0,Miami,Heat,MIA
0021500420,2,1,3,1,7:42 PM,11:44,Whiteside 9' Hook Shot (2 PTS) (Bosh 1 AST),,,0 - 2,2,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,4,2547,Chris Bosh,1610612748.0,Miami,Heat,MIA,0,0,,,,,
0021500420,3,2,1,1,7:42 PM,11:27,,,MISS Caldwell-Pope 25' 3PT Jump Shot,,,5.0,203484,Kentavious Caldwell-Pope,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,4,4,0,1,7:42 PM,11:26,Whiteside REBOUND (Off:0 Def:1),,,,,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,5,1,7,1,7:42 PM,11:18,Whiteside  Dunk (4 PTS) (Udrih 1 AST),,,0 - 4,4,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,4,2757,Beno Udrih,1610612748.0,Miami,Heat,MIA,0,0,,,,,
0021500420,6,1,75,1,7:43 PM,10:55,,,Jackson 2' Driving Finger Roll Layup (2 PTS),2 - 4,2,5.0,202704,Reggie Jackson,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,7,2,42,1,7:43 PM,10:42,MISS Wade 1' Driving Layup,,,,,4.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,8,4,0,1,7:43 PM,10:41,,,Pistons Rebound,,,3.0,1610612765,,,,,,0,0,,,,,,0,0,,,,,
0021500420,9,5,1,1,7:43 PM,10:32,,,Jackson Bad Pass Turnover (P1.T1),,,5.0,202704,Reggie Jackson,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,10,6,2,1,7:44 PM,10:13,,,Drummond S.FOUL (P1.T1) (E.Lewis),,,5.0,203083,Andre Drummond,1610612765.0,Detroit,Pistons,DET,4,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,1,0,,,,,
0021500420,11,3,11,1,7:44 PM,10:13,Whiteside Free Throw 1 of 2 (5 PTS),,,2 - 5,3,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,13,3,12,1,7:44 PM,10:13,Whiteside Free Throw 2 of 2 (6 PTS),,,2 - 6,4,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,15,2,1,1,7:45 PM,9:56,,,MISS Marc Morris 14' Jump Shot,,,5.0,202694,Marcus Morris,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,16,4,0,1,7:45 PM,9:55,,,Ilyasova REBOUND (Off:1 Def:0),,,5.0,101141,Ersan Ilyasova,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,17,1,44,1,7:45 PM,9:54,,,Ilyasova 1' Reverse Layup (2 PTS),4 - 6,2,5.0,101141,Ersan Ilyasova,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,18,1,1,1,7:45 PM,9:32,Udrih 12' Jump Shot (2 PTS),,,4 - 8,4,4.0,2757,Beno Udrih,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,19,2,1,1,7:45 PM,9:14,,,MISS Ilyasova 18' Jump Shot,,,5.0,101141,Ersan Ilyasova,1610612765.0,Detroit,Pistons,DET,0,0,,,,,,0,0,,,,,
0021500420,20,4,0,1,7:45 PM,9:13,Whiteside REBOUND (Off:0 Def:2),,,,,4.0,202355,Hassan Whiteside,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
0021500420,21,1,49,1,7:46 PM,9:08,Wade  Driving Dunk (2 PTS),,,4 - 10,6,4.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,
